FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,y
-0.200002024,-0.749093154,1.001103126,-0.60830418,-0.215230701,1.016769858,-0.204780905,-0.066591211,-0.093263716,0.791017353,-0.254107179,-0.260041262,-0.413282681,0.645498172,-0.218310278,0.65955359,-0.450092692,0.219886571,-0.574961358,1
1.73985905,-0.720931606,0.656648808,0.495378292,0.547708689,-1.594759091,-0.145896773,-2.320428799,-0.122307562,-0.458722971,0.147032865,-0.506507948,-0.949158286,-0.574486639,-0.594849973,-0.063501526,0.98101539,-2.1863321,-1.159878334,0
-0.031196161,1.055993802,-0.656697165,1.176991317,-0.088301874,-1.21859072,-0.083552608,0.484015688,-0.183771267,1.233145707,-0.718867072,1.359003654,-0.8224169,0.097103163,-0.335179934,-0.61139653,-0.777835183,-1.496941307,0.300233288,0
-1.871796189,1.010746065,-0.539428617,1.778838802,-0.150655132,-0.916185373,8.462246033,-1.823465308,-1.598810351,0.092710628,-0.573351023,-0.087508453,-1.464842813,0.579543496,-1.218296384,-1.25646496,0.542651777,0.251788657,0.351974918,0
-0.038104137,-0.425956111,-0.476628276,0.037144262,-0.088970467,2.196101501,-0.738193568,-0.164797656,4.77334334,-0.631143823,-0.779945605,-0.610921011,0.044925433,0.587567346,-0.072002285,-0.498538954,1.094840855,0.082106006,-1.483834135,0
-1.136067413,0.702502678,-1.550725288,0.231878941,0.010999691,0.206332939,-0.306461355,0.630096429,-0.660300383,-0.78786947,0.002944535,-0.751877347,-0.107385301,-0.37404342,0.114829111,-0.103275264,-0.10813808,0.254206231,-0.276046738,0
1.608698521,1.027109387,0.823698429,0.152111582,-0.335331504,-0.430885407,0.281390845,-0.721896237,-1.237034014,2.67373334,-0.447443773,-0.242316742,2.266117144,-0.462145102,-0.686648446,-0.693791305,-1.093033547,0.192081207,0.378917435,0
0.208211247,1.45334214,-1.094241023,-1.301459622,-0.180264873,-1.466468275,-0.91867593,0.581749312,-0.733656854,0.126698764,0.185985956,-0.766611879,1.35215526,-0.192795958,-0.213036136,0.665809904,-0.498684927,0.01275184,-1.175325157,0
-0.026354456,-0.15431172,1.1322158,0.835686141,-0.425052205,-0.249465527,-0.459696679,-0.438567279,-0.322002843,0.948793126,-0.637792338,-0.294290501,-0.252084453,-0.651170215,0.056322171,0.306071378,0.530837159,1.224000063,-0.567191283,0
-0.264988814,-0.230334212,0.942008193,0.708001665,-0.269576956,0.586430242,0.030597381,0.215890864,-0.626829837,-0.632176081,-0.27955838,-0.21601664,-0.794165007,-0.943876322,-0.267411778,-0.010136495,0.863753304,0.065171098,0.443676026,0
-1.09392265,0.574729477,0.978858129,-0.371353401,-0.368933998,0.793452428,1.019220228,0.824691568,1.600321622,-1.247217452,0.94722049,-0.457877122,0.008489434,0.817727463,-0.127456132,1.290670165,1.33923131,-0.132874638,2.383925979,0
-0.047786115,-0.345996234,-1.193855046,-0.248870362,-0.082621874,0.726563876,-0.546487363,1.247947716,0.319824011,-0.155360161,-0.591603187,0.351653029,-0.395751308,0.460213201,-0.188725712,1.0902833,0.798938337,0.004939459,-1.643998734,0
0.999459474,-0.27774144,-0.554651897,1.139061392,-0.288161346,1.806239432,0.422122618,0.968940277,2.347208929,-1.517311619,-0.578620496,1.011163201,0.014574529,-0.375623104,-0.622936765,0.104177457,0.468427134,0.797525988,0.246205975,0
0.499954467,-1.392288982,1.151531378,-1.09475939,-0.113950675,-0.178969422,-0.755731117,-0.138837885,0.389761204,0.54657166,-0.108579782,-0.174526624,-0.728448103,-0.103977645,-0.268160064,0.490608938,-0.03836544,0.570352509,0.974055263,0
0.510790851,-0.880595303,-1.469693408,-0.974517594,0.038621691,1.008214609,-0.285889797,-0.819787715,-0.011196468,-0.367920691,-0.724882436,-0.107316844,-0.293039076,-0.44185342,0.79211028,1.197609152,0.273145962,1.633639755,-0.614433849,0
-1.145044045,-0.287212263,-0.622695306,1.721494263,0.214379768,-1.994360321,-0.111122798,0.082616851,2.998302848,-0.293557838,-0.069887739,-0.170083555,2.453653425,-0.643939841,-0.402512543,-0.467193409,0.715010564,0.069935527,1.193734413,0
-1.298170085,0.471846041,0.952686834,2.063617957,-0.062349725,-1.913230553,-0.170336522,0.617018753,-0.442903202,-0.801108847,-0.230942333,-0.32085136,-0.735784142,-0.357594836,-0.145375479,0.321175019,0.998771447,0.495743315,-0.397227341,1
-0.411639511,0.611001445,1.021982437,0.147452426,-0.32811949,0.128367336,-0.605569673,1.089424577,-0.112356004,-0.347943656,-0.643379272,-0.474533278,-0.34917571,-0.596253735,0.039033265,0.524046481,0.764504502,0.531681331,-0.517571996,0
-0.44902451,0.788577744,-0.293939324,-2.689959613,-0.232146751,0.273765787,-0.241716082,-1.564017714,0.084022758,-0.981512421,0.231169089,1.993118902,-0.607423908,-0.838281398,-0.132090629,0.388080269,0.004770865,0.091603379,1.76192813,0
-0.450471228,1.302614641,-0.591064662,-0.532282084,-0.13565077,1.612189704,-0.367719444,-0.42967753,0.415720739,-0.737077976,-0.595175552,1.15988173,-0.347275636,-0.651008388,-0.138637605,0.394394701,0.662026727,0.436445984,-0.666021952,1
